Vardas Pavarde ND1 ND2 ND3 ND4 ND5 Egzaminas
Vardas108 Pavarde108 3 7 4 3 4 6
Vardas109 Pavarde109 9 8 9 4 6 9
Vardas110 Pavarde110 7 9 3 7 2 9
Vardas111 Pavarde111 5 5 4 4 8 7
Vardas112 Pavarde112 7 3 7 1 10 10
Vardas113 Pavarde113 10 10 1 5 1 5
Vardas114 Pavarde114 4 1 10 9 2 7
Vardas115 Pavarde115 2 9 7 1 2 7
Vardas116 Pavarde116 4 6 8 3 1 9
Vardas117 Pavarde117 1 9 9 8 7 2
Vardas118 Pavarde118 9 8 8 9 5 7
Vardas119 Pavarde119 9 2 9 8 4 2
Vardas120 Pavarde120 9 6 3 7 3 10
Vardas121 Pavarde121 1 6 2 1 8 4
Vardas122 Pavarde122 3 7 9 2 4 2
Vardas123 Pavarde123 6 7 4 9 1 5
Vardas124 Pavarde124 10 3 4 10 3 10
Vardas125 Pavarde125 8 6 3 6 5 5
Vardas126 Pavarde126 6 4 7 10 8 1
Vardas127 Pavarde127 10 8 10 4 7 9
Vardas128 Pavarde128 8 7 9 8 3 7
Vardas129 Pavarde129 8 1 6 9 8 1
Vardas130 Pavarde130 6 1 4 2 4 3
Vardas131 Pavarde131 1 7 2 5 6 10
Vardas132 Pavarde132 6 7 9 4 9 3
Vardas133 Pavarde133 5 6 6 6 3 6
Vardas134 Pavarde134 2 10 3 6 8 5
Vardas135 Pavarde135 10 8 7 6 4 8
Vardas136 Pavarde136 8 9 5 8 3 10
Vardas137 Pavarde137 7 4 1 9 3 7
Vardas138 Pavarde138 9 5 2 4 4 2
Vardas139 Pavarde139 5 1 8 8 10 4
Vardas140 Pavarde140 10 6 10 8 5 9
Vardas141 Pavarde141 4 10 3 2 6 1
Vardas142 Pavarde142 8 8 3 7 10 10
Vardas143 Pavarde143 6 4 8 7 8 4
Vardas144 Pavarde144 3 7 4 5 1 4
Vardas145 Pavarde145 10 10 9 2 8 8
Vardas146 Pavarde146 1 9 9 3 5 3
Vardas147 Pavarde147 4 7 9 2 6 7
Vardas148 Pavarde148 10 9 1 8 3 7
Vardas149 Pavarde149 6 3 8 7 5 9
Vardas150 Pavarde150 5 10 10 9 2 6
Vardas151 Pavarde151 3 7 10 6 6 1
Vardas152 Pavarde152 2 3 10 5 4 2
Vardas153 Pavarde153 5 2 2 7 6 2
Vardas154 Pavarde154 3 3 8 2 6 5
Vardas155 Pavarde155 1 5 4 1 8 6
Vardas156 Pavarde156 4 6 5 4 10 9
Vardas157 Pavarde157 8 4 3 1 7 10
Vardas158 Pavarde158 8 1 10 7 2 4
Vardas159 Pavarde159 8 8 5 8 6 10
Vardas160 Pavarde160 9 1 1 6 6 2
Vardas161 Pavarde161 7 2 6 5 2 8
Vardas162 Pavarde162 7 2 3 3 10 2
Vardas163 Pavarde163 10 3 6 9 5 6
Vardas164 Pavarde164 5 4 3 1 3 1
Vardas165 Pavarde165 1 6 10 5 5 10
Vardas166 Pavarde166 9 3 9 2 5 6
Vardas167 Pavarde167 5 4 10 3 1 1
Vardas168 Pavarde168 1 6 9 3 9 4
Vardas169 Pavarde169 5 10 6 6 1 2
Vardas170 Pavarde170 9 7 9 5 4 6
Vardas171 Pavarde171 9 2 7 4 4 8
Vardas172 Pavarde172 4 8 9 10 4 2
Vardas173 Pavarde173 6 3 4 2 10 8
Vardas174 Pavarde174 3 9 8 7 1 5
Vardas175 Pavarde175 4 4 2 7 3 9
Vardas176 Pavarde176 8 10 1 4 4 9
Vardas177 Pavarde177 5 8 2 1 10 1
Vardas178 Pavarde178 6 5 7 5 10 8
Vardas179 Pavarde179 9 8 7 1 3 5
Vardas180 Pavarde180 9 3 1 2 10 1
Vardas181 Pavarde181 7 7 6 1 3 5
Vardas182 Pavarde182 2 3 9 5 8 3
Vardas183 Pavarde183 7 2 9 7 2 7
Vardas184 Pavarde184 9 10 4 4 9 6
Vardas185 Pavarde185 2 8 7 6 6 2
Vardas186 Pavarde186 9 3 8 2 5 3
Vardas187 Pavarde187 5 5 2 2 4 8
Vardas188 Pavarde188 10 4 10 4 5 2
Vardas189 Pavarde189 6 2 2 5 3 1
Vardas190 Pavarde190 7 3 9 1 9 6
Vardas191 Pavarde191 8 6 8 7 7 5
Vardas192 Pavarde192 6 5 8 7 2 7
Vardas193 Pavarde193 5 7 7 7 5 5
Vardas194 Pavarde194 6 9 4 6 10 4
Vardas195 Pavarde195 1 4 10 7 5 3
Vardas196 Pavarde196 5 5 7 7 5 8
Vardas197 Pavarde197 1 3 8 5 9 10
Vardas198 Pavarde198 4 10 10 5 1 6
Vardas199 Pavarde199 5 10 8 4 5 1
Vardas200 Pavarde200 3 3 6 4 6 4
Vardas201 Pavarde201 5 9 10 6 2 8
Vardas202 Pavarde202 10 8 3 9 7 3
Vardas203 Pavarde203 8 1 10 4 2 10
Vardas204 Pavarde204 4 7 4 5 3 5
Vardas205 Pavarde205 5 1 10 6 5 2
Vardas206 Pavarde206 2 7 7 5 1 1
Vardas207 Pavarde207 10 9 9 3 5 3
Vardas208 Pavarde208 4 6 4 6 7 5
Vardas209 Pavarde209 2 9 1 6 1 10
Vardas210 Pavarde210 10 1 7 5 1 1
Vardas211 Pavarde211 9 4 4 2 7 10
Vardas212 Pavarde212 6 3 1 10 5 3
Vardas213 Pavarde213 2 1 2 1 1 7
Vardas214 Pavarde214 2 10 5 6 5 6
Vardas215 Pavarde215 2 6 6 7 5 10
Vardas216 Pavarde216 5 5 8 8 5 1
Vardas217 Pavarde217 10 2 9 4 10 4
Vardas218 Pavarde218 4 2 5 8 5 10
Vardas219 Pavarde219 9 10 10 10 4 2
Vardas220 Pavarde220 7 4 10 8 10 2
Vardas221 Pavarde221 5 10 9 2 6 10
Vardas222 Pavarde222 6 5 7 1 1 9
Vardas223 Pavarde223 8 8 10 1 2 3
Vardas224 Pavarde224 2 4 2 6 8 5
Vardas225 Pavarde225 10 5 2 6 2 1
Vardas226 Pavarde226 2 3 2 8 10 10
Vardas227 Pavarde227 6 3 7 6 3 10
Vardas228 Pavarde228 3 9 10 1 2 7
Vardas229 Pavarde229 3 6 2 7 7 7
Vardas230 Pavarde230 10 9 3 4 2 1
Vardas231 Pavarde231 8 10 3 6 9 9
Vardas232 Pavarde232 8 10 9 10 6 9
Vardas233 Pavarde233 7 6 1 2 3 9
Vardas234 Pavarde234 6 9 4 6 4 6
Vardas235 Pavarde235 10 6 7 6 9 1
Vardas236 Pavarde236 8 2 1 7 8 4
Vardas237 Pavarde237 8 8 1 2 4 2
Vardas238 Pavarde238 8 3 1 4 10 1
Vardas239 Pavarde239 6 8 7 4 9 3
Vardas240 Pavarde240 8 3 6 8 7 3
Vardas241 Pavarde241 3 2 2 8 2 5
Vardas242 Pavarde242 8 10 9 8 5 6
Vardas243 Pavarde243 8 5 5 2 8 1
Vardas244 Pavarde244 6 6 6 6 10 1
Vardas245 Pavarde245 5 5 3 8 10 5
Vardas246 Pavarde246 8 1 1 9 9 3
Vardas247 Pavarde247 1 1 1 7 6 1
Vardas248 Pavarde248 3 8 3 1 6 4
Vardas249 Pavarde249 9 7 6 5 2 1
Vardas250 Pavarde250 7 7 2 1 4 8
Vardas251 Pavarde251 2 10 1 4 1 5
Vardas252 Pavarde252 6 10 6 3 1 7
Vardas253 Pavarde253 1 10 1 6 4 2
Vardas254 Pavarde254 9 4 9 9 10 3
Vardas255 Pavarde255 10 3 9 10 2 3
Vardas256 Pavarde256 1 1 8 4 5 6
Vardas257 Pavarde257 10 9 8 9 5 7
Vardas258 Pavarde258 9 6 6 9 5 2
Vardas259 Pavarde259 1 2 4 1 3 10
Vardas260 Pavarde260 10 3 1 8 5 8
Vardas261 Pavarde261 7 7 9 4 3 1
Vardas262 Pavarde262 10 7 5 6 7 5
Vardas263 Pavarde263 5 10 10 3 1 5
Vardas264 Pavarde264 8 1 9 7 10 1
Vardas265 Pavarde265 9 1 8 8 4 3
Vardas266 Pavarde266 6 2 5 1 3 9
Vardas267 Pavarde267 8 5 4 5 9 8
Vardas268 Pavarde268 8 5 5 10 7 3
Vardas269 Pavarde269 1 7 2 6 1 4
Vardas270 Pavarde270 9 10 8 8 5 3
Vardas271 Pavarde271 4 3 4 3 1 5
Vardas272 Pavarde272 10 4 8 1 5 6
Vardas273 Pavarde273 2 3 3 1 10 5
Vardas274 Pavarde274 6 10 5 6 8 7
Vardas275 Pavarde275 1 10 2 1 2 3
Vardas276 Pavarde276 2 1 10 2 2 7
Vardas277 Pavarde277 5 5 5 1 10 3
Vardas278 Pavarde278 5 10 3 6 5 8
Vardas279 Pavarde279 2 8 10 3 2 6
Vardas280 Pavarde280 8 8 5 7 2 1
Vardas281 Pavarde281 4 10 2 5 9 5
Vardas282 Pavarde282 6 1 2 6 7 5
Vardas283 Pavarde283 1 6 1 2 1 8
Vardas284 Pavarde284 5 6 6 5 10 4
Vardas285 Pavarde285 3 10 9 5 4 4
Vardas286 Pavarde286 2 9 4 4 8 1
Vardas287 Pavarde287 2 10 1 9 1 4
Vardas288 Pavarde288 7 6 2 6 2 7
Vardas289 Pavarde289 6 7 8 8 2 7
Vardas290 Pavarde290 6 9 10 8 3 10
Vardas291 Pavarde291 6 2 8 8 5 9
Vardas292 Pavarde292 1 8 9 10 1 1
Vardas293 Pavarde293 7 7 6 2 8 5
Vardas294 Pavarde294 3 8 8 2 10 7
Vardas295 Pavarde295 7 5 7 8 9 9
Vardas296 Pavarde296 1 4 8 2 3 9
Vardas297 Pavarde297 7 9 2 4 5 5
Vardas298 Pavarde298 9 6 6 8 1 6
Vardas299 Pavarde299 2 4 1 6 6 5
Vardas300 Pavarde300 3 5 2 1 2 1
Vardas301 Pavarde301 2 4 10 10 10 8
Vardas302 Pavarde302 3 6 4 7 5 10
Vardas303 Pavarde303 3 10 4 3 4 4
Vardas304 Pavarde304 2 9 5 1 7 5
Vardas305 Pavarde305 8 6 9 4 9 9
Vardas306 Pavarde306 7 7 8 2 2 2
Vardas307 Pavarde307 6 9 7 9 5 5
Vardas308 Pavarde308 3 5 9 2 3 7
Vardas309 Pavarde309 1 10 1 9 10 3
Vardas310 Pavarde310 6 1 7 5 3 5
Vardas311 Pavarde311 10 10 8 5 10 9
Vardas312 Pavarde312 2 2 8 3 8 6
Vardas313 Pavarde313 8 3 5 10 9 2
Vardas314 Pavarde314 6 6 3 2 3 9
Vardas315 Pavarde315 9 9 8 6 6 1
Vardas316 Pavarde316 5 2 6 3 10 6
Vardas317 Pavarde317 8 8 6 1 10 1
Vardas318 Pavarde318 9 9 3 6 1 7
Vardas319 Pavarde319 8 7 2 5 9 7
Vardas320 Pavarde320 2 8 7 9 7 1
Vardas321 Pavarde321 1 7 7 7 9 7
Vardas322 Pavarde322 10 6 4 10 3 2
Vardas323 Pavarde323 6 6 7 3 4 4
Vardas324 Pavarde324 7 3 9 1 8 9
Vardas325 Pavarde325 10 10 3 9 1 3
Vardas326 Pavarde326 9 9 1 6 10 3
Vardas327 Pavarde327 4 3 1 7 6 5
Vardas328 Pavarde328 4 9 5 1 10 4
Vardas329 Pavarde329 1 10 5 3 3 4
Vardas330 Pavarde330 2 10 10 9 8 9
Vardas331 Pavarde331 4 1 6 1 1 4
Vardas332 Pavarde332 1 1 6 4 9 1
Vardas333 Pavarde333 4 10 8 5 8 9
Vardas334 Pavarde334 5 9 1 10 9 2
Vardas335 Pavarde335 8 6 7 7 5 1
Vardas336 Pavarde336 4 6 5 2 3 6
Vardas337 Pavarde337 10 3 9 1 10 9
Vardas338 Pavarde338 8 8 1 4 10 3
Vardas339 Pavarde339 7 8 3 2 4 10
Vardas340 Pavarde340 9 5 3 4 4 5
Vardas341 Pavarde341 8 4 7 6 1 3
Vardas342 Pavarde342 7 2 8 3 5 5
Vardas343 Pavarde343 1 5 9 2 2 1
Vardas344 Pavarde344 1 5 7 4 1 7
Vardas345 Pavarde345 8 3 3 6 4 8
Vardas346 Pavarde346 3 6 10 4 3 7
Vardas347 Pavarde347 3 3 8 9 8 8
Vardas348 Pavarde348 6 5 3 8 1 10
Vardas349 Pavarde349 1 8 4 2 4 9
Vardas350 Pavarde350 8 4 4 10 8 9
Vardas351 Pavarde351 1 1 9 10 10 10
Vardas352 Pavarde352 6 7 2 3 9 9
Vardas353 Pavarde353 4 3 8 10 9 7
Vardas354 Pavarde354 5 1 2 4 6 7
Vardas355 Pavarde355 4 2 3 1 6 10
Vardas356 Pavarde356 3 4 5 10 8 7
Vardas357 Pavarde357 9 6 5 4 2 4
Vardas358 Pavarde358 8 9 9 6 8 1
Vardas359 Pavarde359 2 9 5 7 6 8
Vardas360 Pavarde360 7 8 6 3 7 9
Vardas361 Pavarde361 7 5 1 2 10 6
Vardas362 Pavarde362 4 5 6 1 1 4
Vardas363 Pavarde363 2 2 9 8 6 8
Vardas364 Pavarde364 8 9 4 2 10 8
Vardas365 Pavarde365 5 7 9 8 3 10
Vardas366 Pavarde366 2 7 10 7 7 8
Vardas367 Pavarde367 4 6 9 4 2 3
Vardas368 Pavarde368 6 1 9 2 5 4
Vardas369 Pavarde369 10 10 3 9 5 8
Vardas370 Pavarde370 5 5 6 4 8 4
Vardas371 Pavarde371 7 7 3 6 9 4
Vardas372 Pavarde372 5 6 5 2 5 10
Vardas373 Pavarde373 9 4 7 1 7 9
Vardas374 Pavarde374 10 4 2 5 9 3
Vardas375 Pavarde375 8 4 2 2 2 2
Vardas376 Pavarde376 2 10 9 5 7 6
Vardas377 Pavarde377 1 1 3 5 7 10
Vardas378 Pavarde378 10 8 6 3 10 1
Vardas379 Pavarde379 1 4 9 7 5 5
Vardas380 Pavarde380 3 3 9 10 8 6
Vardas381 Pavarde381 2 3 4 3 10 5
Vardas382 Pavarde382 2 4 8 2 1 7
Vardas383 Pavarde383 7 5 7 3 6 1
Vardas384 Pavarde384 8 6 5 1 1 9
Vardas385 Pavarde385 4 6 6 5 3 5
Vardas386 Pavarde386 8 2 3 7 3 5
Vardas387 Pavarde387 6 7 9 1 1 6
Vardas388 Pavarde388 4 10 4 3 10 10
Vardas389 Pavarde389 8 1 8 9 2 2
Vardas390 Pavarde390 2 2 3 6 10 5
Vardas391 Pavarde391 10 8 2 3 5 9
Vardas392 Pavarde392 4 10 3 3 7 9
Vardas393 Pavarde393 2 8 6 9 7 2
Vardas394 Pavarde394 5 2 6 7 7 2
Vardas395 Pavarde395 8 9 10 1 6 2
Vardas396 Pavarde396 3 10 8 5 1 4
Vardas397 Pavarde397 4 2 6 5 9 10
Vardas398 Pavarde398 7 6 4 9 7 5
Vardas399 Pavarde399 7 3 5 1 1 9
Vardas400 Pavarde400 9 4 1 10 6 6
Vardas401 Pavarde401 10 3 5 2 1 8
Vardas402 Pavarde402 1 8 7 2 5 6
Vardas403 Pavarde403 6 1 3 6 10 2
Vardas404 Pavarde404 9 9 2 5 4 3
Vardas405 Pavarde405 7 2 9 10 6 8
Vardas406 Pavarde406 3 4 7 1 6 6
Vardas407 Pavarde407 6 6 5 7 9 10
Vardas408 Pavarde408 9 5 8 9 6 1
Vardas409 Pavarde409 6 4 5 10 2 7
Vardas410 Pavarde410 4 5 9 2 5 9
Vardas411 Pavarde411 9 2 2 10 10 1
Vardas412 Pavarde412 9 6 6 8 10 4
Vardas413 Pavarde413 7 2 1 3 7 10
Vardas414 Pavarde414 6 9 6 8 4 2
Vardas415 Pavarde415 4 4 3 10 7 1
Vardas416 Pavarde416 7 4 2 6 9 7
Vardas417 Pavarde417 8 10 6 7 10 10
Vardas418 Pavarde418 6 9 4 1 3 10
Vardas419 Pavarde419 7 2 9 10 7 7
Vardas420 Pavarde420 4 1 8 1 6 6
Vardas421 Pavarde421 9 10 9 5 1 7
Vardas422 Pavarde422 3 1 4 4 5 8
Vardas423 Pavarde423 4 9 9 7 3 6
Vardas424 Pavarde424 8 4 1 3 4 6
Vardas425 Pavarde425 3 7 7 5 3 8
Vardas426 Pavarde426 10 8 4 10 9 1
Vardas427 Pavarde427 1 1 9 8 8 2
Vardas428 Pavarde428 6 3 7 1 7 9
Vardas429 Pavarde429 9 7 9 2 3 3
Vardas430 Pavarde430 6 6 6 3 3 4
Vardas431 Pavarde431 10 9 8 7 4 7
Vardas432 Pavarde432 5 5 1 8 6 2
Vardas433 Pavarde433 8 1 6 9 7 1
Vardas434 Pavarde434 10 2 1 9 7 7
Vardas435 Pavarde435 10 8 6 1 5 3
Vardas436 Pavarde436 6 9 8 5 8 10
Vardas437 Pavarde437 5 10 10 10 7 2
Vardas438 Pavarde438 9 2 2 7 5 2
Vardas439 Pavarde439 8 7 9 5 4 2
Vardas440 Pavarde440 3 1 2 2 8 6
Vardas441 Pavarde441 2 5 1 8 2 8
Vardas442 Pavarde442 4 4 3 7 5 8
Vardas443 Pavarde443 2 10 6 10 1 6
Vardas444 Pavarde444 5 3 4 4 4 9
Vardas445 Pavarde445 4 1 5 7 2 7
Vardas446 Pavarde446 8 3 3 4 9 2
Vardas447 Pavarde447 2 1 10 5 4 2
Vardas448 Pavarde448 9 1 2 2 4 5
Vardas449 Pavarde449 7 4 1 7 7 5
Vardas450 Pavarde450 3 8 2 2 5 2
Vardas451 Pavarde451 3 8 2 6 10 2
Vardas452 Pavarde452 5 9 2 4 8 10
Vardas453 Pavarde453 7 1 9 3 5 3
Vardas454 Pavarde454 7 2 8 1 1 8
Vardas455 Pavarde455 7 2 7 8 2 1
Vardas456 Pavarde456 1 10 7 9 2 7
Vardas457 Pavarde457 10 4 1 1 7 6
Vardas458 Pavarde458 3 3 7 2 1 7
Vardas459 Pavarde459 7 10 3 9 6 3
Vardas460 Pavarde460 4 3 7 5 10 9
Vardas461 Pavarde461 6 8 8 1 3 8
Vardas462 Pavarde462 4 8 10 3 4 2
Vardas463 Pavarde463 3 7 5 3 8 8
Vardas464 Pavarde464 1 5 1 10 2 2
Vardas465 Pavarde465 9 3 5 4 5 9
Vardas466 Pavarde466 10 6 4 3 5 10
Vardas467 Pavarde467 9 3 10 9 8 3
Vardas468 Pavarde468 8 4 7 1 7 10
Vardas469 Pavarde469 8 2 6 9 4 5
Vardas470 Pavarde470 8 6 6 6 3 1
Vardas471 Pavarde471 4 10 4 1 3 9
Vardas472 Pavarde472 9 10 2 6 4 5
Vardas473 Pavarde473 9 3 8 9 3 8
Vardas474 Pavarde474 5 8 7 5 6 3
Vardas475 Pavarde475 3 1 2 9 6 10
Vardas476 Pavarde476 4 3 1 10 6 9
Vardas477 Pavarde477 10 7 1 9 2 7
Vardas478 Pavarde478 8 3 8 1 1 2
Vardas479 Pavarde479 8 9 3 8 1 5
Vardas480 Pavarde480 5 9 5 1 8 3
Vardas481 Pavarde481 7 1 5 3 2 2
Vardas482 Pavarde482 5 10 7 10 10 7
Vardas483 Pavarde483 8 7 6 10 8 3
Vardas484 Pavarde484 6 3 1 1 1 7
Vardas485 Pavarde485 7 7 2 6 6 7
Vardas486 Pavarde486 4 10 9 9 3 2
Vardas487 Pavarde487 3 6 2 7 6 2
Vardas488 Pavarde488 5 9 10 7 1 5
Vardas489 Pavarde489 9 5 2 2 5 6
Vardas490 Pavarde490 2 6 10 9 7 5
Vardas491 Pavarde491 10 10 5 10 6 10
Vardas492 Pavarde492 8 9 5 4 8 2
Vardas493 Pavarde493 1 9 7 9 7 3
Vardas494 Pavarde494 7 10 6 8 8 1
Vardas495 Pavarde495 6 3 5 4 7 8
Vardas496 Pavarde496 3 4 10 7 7 7
Vardas497 Pavarde497 8 6 4 10 10 2
Vardas498 Pavarde498 1 5 7 10 1 7
Vardas499 Pavarde499 9 4 10 7 2 7
Vardas500 Pavarde500 10 3 2 4 5 3
Vardas501 Pavarde501 6 4 3 8 2 5
Vardas502 Pavarde502 3 4 2 10 2 2
Vardas503 Pavarde503 9 7 1 5 8 3
Vardas504 Pavarde504 5 6 2 9 5 4
Vardas505 Pavarde505 8 6 2 3 8 5
Vardas506 Pavarde506 5 5 2 1 5 6
Vardas507 Pavarde507 10 4 4 3 8 7
Vardas508 Pavarde508 5 10 2 9 8 6
Vardas509 Pavarde509 7 5 5 10 9 9
Vardas510 Pavarde510 2 8 10 10 10 6
Vardas511 Pavarde511 3 10 6 7 5 8
Vardas512 Pavarde512 10 9 3 5 6 4
Vardas513 Pavarde513 9 3 9 5 4 6
Vardas514 Pavarde514 2 10 8 7 7 3
Vardas515 Pavarde515 1 6 6 3 10 7
Vardas516 Pavarde516 7 1 4 9 1 8
Vardas517 Pavarde517 1 8 5 5 9 10
Vardas518 Pavarde518 4 2 10 1 2 7
Vardas519 Pavarde519 10 7 5 4 8 10
Vardas520 Pavarde520 8 6 3 4 7 10
Vardas521 Pavarde521 2 8 10 6 9 5
Vardas522 Pavarde522 1 10 3 1 4 6
Vardas523 Pavarde523 1 7 2 9 3 6
Vardas524 Pavarde524 4 10 4 9 3 3
Vardas525 Pavarde525 3 3 3 5 2 5
Vardas526 Pavarde526 5 8 1 5 4 2
Vardas527 Pavarde527 1 9 3 5 1 2
Vardas528 Pavarde528 5 10 3 9 4 2
Vardas529 Pavarde529 9 9 3 8 1 8
Vardas530 Pavarde530 6 3 5 7 3 7
Vardas531 Pavarde531 3 6 9 9 6 7
Vardas532 Pavarde532 5 7 4 1 8 5
Vardas533 Pavarde533 4 9 9 3 5 4
Vardas534 Pavarde534 1 5 10 1 6 3
Vardas535 Pavarde535 2 8 8 4 9 1
Vardas536 Pavarde536 7 5 6 6 3 5
Vardas537 Pavarde537 4 7 4 7 4 7
Vardas538 Pavarde538 8 9 1 9 5 2
Vardas539 Pavarde539 10 4 9 1 6 9
Vardas540 Pavarde540 8 2 1 6 7 9
Vardas541 Pavarde541 9 2 8 4 4 4
Vardas542 Pavarde542 10 8 7 4 9 8
Vardas543 Pavarde543 1 4 2 3 4 8
Vardas544 Pavarde544 2 4 3 6 4 5
Vardas545 Pavarde545 2 7 9 8 8 1
Vardas546 Pavarde546 5 9 10 5 8 2
Vardas547 Pavarde547 9 5 5 8 9 7
Vardas548 Pavarde548 6 6 6 2 10 2
Vardas549 Pavarde549 7 6 9 3 4 4
Vardas550 Pavarde550 6 3 8 3 2 8
Vardas551 Pavarde551 6 3 10 6 9 1
Vardas552 Pavarde552 8 7 7 10 4 9
Vardas553 Pavarde553 3 5 5 6 1 9
Vardas554 Pavarde554 10 1 7 7 1 3
Vardas555 Pavarde555 2 2 6 6 9 6
Vardas556 Pavarde556 5 7 4 8 3 7
Vardas557 Pavarde557 8 1 8 6 4 4
